Je úspěch totéž co popularita?	Tu	3,2368(bylo Tu),2916,4618
Tatínkové, kde jste?	Td	723,3328,5448
Kdopak má tu čest být prvním detektivním autorem?	Td	1132,1851(bylo Td),3295,5415
A co budete dělat dál?	Td 1332,3859,5979
Sám jste zařídil dva góly, jak jste viděl obě situace?	Td	1352,3263,5383

A co dnes uvidíte?	Td	5190
A co dál?	Td	5211
A pokud ano, tak kdy?	Td 2148
Co budeš dělat?	Tu
Co chceš?	Tu
Co děláš?	Tu
Co je to epitaf?	Tu
Co jsem říkal?	Tu
Co jsi říkal?	Tu
Co jsi říkala?	Tu
Co jste říkal?	Tu
Co to máš?	Tu
Co to říkal?	Tu
Co to říká?	Tu
Co říkal?	Tu
Co říkáte?	Tu
Co říkáš?	Tu
Jak je možné, že počítačům stačí jedničky a nuly?	Tu
Je vůbec možné hubnout půl kila den co den?	Td
Kam jede autobusová linka číslo dvacet?	Tu
Kdy se bude opravovat rychlostní silnice R devět?	Tu
Klaus tlačí, kam ustoupí Zeman?	Tu
Musel být ten spor řešen přes média?	Td
Nakolik je hodnocení zahraničních investorů pro nás důležité?	Tu
O co vlastně jde Klausovi?	Td
O co vlastně jde Klausovi?	Tu
Podvádí někdo úspěšně podvádí v daňovém přiznání?	Tu
S jakými pocity odjížděl?	Td
S jakými pocity odjížděl?	Tu
S čím tam koncertujete?	Td
S čím tam koncertujete?	Tu
Sám jste zařídil dva góly, jak jste viděl obě situace?	Tu
Tahám se snad já po republice jako ňákej vandrák?	Td
Zejtra, co zejtra?	Td
proč jsou vlastně Češi v Rakousku nejméně populární ze všech sousedů?	Td



A co Kubiš s Gabčíkem?	Td
A co Maďaři v Rumunsku?	Td
A co dlužníci?	Td
A co hygiena?	Td
A co investoři?	Td
A co já?	Tu
A co konkurs?	Td
A co lidovci?	Td
A co on?	Tu
A co osobnosti takzvané křižné?	Td
A co ostatní čeští básníci?	Td
A co poslední branka?	Td
A co rychlé pomrkávání?	Td
A co samotné stránky pracovních úřadů?	Td
A co sestry Krejčovy?	Td
A co sponzoring?	Td
